Melt Temperature,Mold Temperature,Filling Time,Packing Time,Max. Injection Pressur,Warpage_X-Displacemen,Warpage_Y-Displacement,Warpage_Z-Displacement,Filling_Sprue Pressure
195,45,0.8,3,70,0.314788,0.171083,0.053372,21.1486
195,45,1,4,85,0.311267,0.170792,0.051905,21.0058
195,45,1.2,5,100,0.314206,0.170082,0.055653,20.7056
195,50,0.8,4,85,0.312332,0.171491,0.052616,21.0888
195,50,1,5,100,0.309447,0.16981,0.052658,20.543
195,50,1.2,3,70,0.313603,0.170965,0.054579,20.611
195,55,0.8,5,100,0.306439,0.169149,0.051102,20.6043
195,55,1,3,70,0.309718,0.169996,0.053498,20.341
195,55,1.2,4,85,0.310497,0.170883,0.05202,20.2464
210,45,0.8,4,100,0.316843,0.173022,0.053437,13.3468
210,45,1,5,70,0.315454,0.171717,0.054632,12.9613
210,45,1.2,3,85,0.318838,0.17265,0.056909,12.6388
210,50,0.8,5,70,0.3128,0.170986,0.053372,13.3983
210,50,1,3,85,0.315404,0.170979,0.056233,12.7499
210,50,1.2,4,100,0.317,0.1728,0.053305,12.4202
210,55,0.8,3,85,0.311149,0.168962,0.055671,13.0061
210,55,1,4,100,0.314299,0.170147,0.055508,12.5386
210,55,1.2,5,70,0.31206,0.170123,0.052532,12.3125
225,45,0.8,5,85,0.317438,0.172141,0.054559,9.16358
225,45,1,3,100,0.319982,0.172742,0.058189,8.65291
225,45,1.2,4,70,0.321209,0.173227,0.057493,8.24617
225,50,0.8,3,100,0.316439,0.171021,0.057011,8.95222
225,50,1,4,70,0.318491,0.171955,0.05739,8.50598
225,50,1.2,5,85,0.315744,0.171979,0.053236,8.08884
225,55,0.8,4,70,0.314821,0.170188,0.056534,8.92271
225,55,1,5,85,0.315098,0.171415,0.053581,8.35941
225,55,1.2,3,100,0.314798,0.170424,0.055493,7.94935
225,55,1.2,5,85,0.316091,0.171194,0.053494,8.01761
